"Nome", "telefone", "Endereço" , "Email"
"Leonardo", "46999999999", "rua tal de tal", "leonardo@gmail.com"
"Fulano", "46988888888", "rua tal de tal1", "leonardo8@gmail.com"
"Ciclano", "46977777777", "rua tal de tal2", "leonardo7@gmail.com"
"Beltrano", "46966666666", "rua tal de tal3", "leonardo6@gmail.com"
"Optimus", "46955555555", "rua tal de tal5", "leonardo5@gmail.com"
"Xuxa", "46944444444", "rua tal de tal4", "leonardo4@gmail.com"
"Pelé","46933333333","rua tal de tal3", "leonardo3@gmail.com"
"Cassio", "46921010441", "rua tal de tal2", "leonardo2@gmail.com"
"Bolsonaro","46921010441","rua tal de tal2", "leonardo2@gmail.com"


tais carla,46999225544,tais@carla.com,rua da tais 456
